name,author,type,url,previewURL,price,timeHours,timeMinutes,productImage
The 4...Nf6 Caro-Kann,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/davies_the_4_nf6_caro_kann,//youtube.com/embed/hqubxkcA-qw,29.65,4,,https://shop.chessbase.com/en/pics/bp_7956
Trompowsky for the attacking player,Timur Gareyev,FritzTrainer,https://shop.chessbase.com/en/products/gareyev_trompowsky_for_the_attacking_player,//youtube.com/embed/Akc8PGlK4ZE,29.65,4,36,https://shop.chessbase.com/en/pics/bp_7957
Winning against the Classical Slav,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_winning_against_the_classical_slav,//youtube.com/embed/vcwYguavfMA,29.65,6,10,https://shop.chessbase.com/en/pics/bp_7898
Power Play 23: A Repertoire for black with the Queen's Gambit Declined,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/king_power_play_23_queens_gambit_declined,//youtube.com/embed/oE1Fp3Z8q00,29.65,5,52,https://shop.chessbase.com/en/pics/bp_7937
Power Play 24: A repertoire for black against the Catalan,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/king_power_play_24_a_repertoire_against_the_catalan,//youtube.com/embed/ocPxEADRw64,29.65,5,36,https://shop.chessbase.com/en/pics/bp_7939
Power Play Vol.23 and 24,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/king_power_play_23_power_play_24_bundle_english,"//youtube.com/embed/oE1Fp3Z8q00,//youtube.com/embed/ocPxEADRw64",54.43,,52,https://shop.chessbase.com/en/pics/bp_7942
Exchange on d5 in the Slav and Queen's Gambit,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_simple_but_powerful_exchange_on_d5,//youtube.com/embed/zbViOAM9otE,29.65,6,34,https://shop.chessbase.com/en/pics/bp_7874
King's Indian: A modern approach,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_kings_indian_a_modern_approach,//youtube.com/embed/yzyU54YEEoU,29.65,7,14,https://shop.chessbase.com/en/pics/bp_7886
Semi-Tarrasch: A universal weapon against 1.d4,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_semi_tarrasch_a_univeral_weapon_against_d4,//youtube.com/embed/slkqQjn7qcw,29.65,6,10,https://shop.chessbase.com/en/pics/bp_7925
The complex Najdorf,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_the_complex_najdorf,//youtube.com/embed/iovDtgsdh60,29.65,6,31,https://shop.chessbase.com/en/pics/bp_7913
Strengthen your chess foundation,Nisha Mohota,FritzTrainer,https://shop.chessbase.com/en/products/mohota_strengthen_your_chess_foundation,//youtube.com/embed/SIHfpngJgTs,29.65,,05,https://shop.chessbase.com/en/pics/bp_8017
The modern Two Knights,Erwin l'Ami,FritzTrainer,https://shop.chessbase.com/en/products/lami_the_modern_two_knights,//youtube.com/embed/m1Rgf9O6dGM,29.65,,27,https://shop.chessbase.com/en/pics/bp_7806
A strategic weapon against 1.d4: The Queen's Indian Defense,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_a_strategic_weapon_against_1d4_the_queens_indian_defense,//youtube.com/embed/-dPOqEF_giY,29.65,,10,https://shop.chessbase.com/en/pics/bp_7810
A dynamic weapon against the QGD - 5.Bf4,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_dynamic_weapon_vs_d4_qgd_with_5bf4,//youtube.com/embed/oyb2AdWWLsw,29.65,,39,https://shop.chessbase.com/en/pics/bp_7811
Trends in modern openings 2015,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/kasimdzhanov_trends_in_modern_openings_2015,//youtube.com/embed/JkfN9wj0OLQ,29.65,,53,https://shop.chessbase.com/en/pics/bp_7818
The Classical Sicilian,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_classical_sicilian,//youtube.com/embed/_2DbHJLNC80,29.65,5,,https://shop.chessbase.com/en/pics/bp_7859
Queen's Gambit Declined - A repertoire for Black based on the Lasker Variation,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_qgd_lasker_variation,//youtube.com/embed/yW5bImJKGeg,29.65,5,50,https://shop.chessbase.com/en/pics/bp_7906
The English Opening Vol. 1,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_english_opening_vol_1,//youtube.com/embed/4T3fe-KpIEI,29.65,,21,https://shop.chessbase.com/en/pics/bp_7826
The English Opening Vol. 2,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_english_opening_vol_2,//youtube.com/embed/vB63JV0CZzg,29.65,,50,https://shop.chessbase.com/en/pics/bp_7827
The Accelerated London with 2.Bf4,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/davies_accelerated_london_bf4,//youtube.com/embed/fZ-YB58JcW0,29.65,4,21,https://shop.chessbase.com/en/pics/bp_7923
Nimzowitsch Defence 1.e4 Nc6,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_nimzowitsch_defence,//youtube.com/embed/sV1x-JqHb70,29.65,4,08,https://shop.chessbase.com/en/pics/bp_7920
The Berlin Wall,Victor Bologan,FritzTrainer,https://shop.chessbase.com/en/products/bologan_the_berlin_wall,//youtube.com/embed/k4WIBqRGoXo,29.65,4,07,https://shop.chessbase.com/en/pics/bp_7862
The Ragozin Defense,Alejandro Ramirez,FritzTrainer,https://shop.chessbase.com/en/products/ramirez_ragozin_defense,//youtube.com/embed/jvN4zZjA4EE,29.65,5,26,https://shop.chessbase.com/en/pics/bp_7804
