author,price,name,producer,url,productImage,previewPDFURL
Müller,16.95,"Chess Endgames 
				  for Kids",Gambit Publications,http://www.gambitbooks.com/books/Chess_Endgames_for_Kids.html,http://www.gambitbooks.com/bigimg/Chess_Endgames_for_Kids_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Endgames_for_Kids.pdf
Collins,19.95,Chess Explained: the c3 Sicilian,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_c3_Sicilian.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_c3_Sicilian_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_c3_Sicilian.pdf
Yermolinsky,19.95,Chess Explained: the Classical Sicilian,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_Classical_Sicilian.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_Classical_Sicilian_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_Classical_Sicilian.pdf
Franco,19.95,Chess Explained: the English Opening,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_English_Opening.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_English_Opening_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_English_Opening.pdf
Eingorn & Bogdanov,23.95,Chess Explained: the French,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_French.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_French_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_French.pdf
Bogdanov ,24.95,Chess Explained: The Grünfeld,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_Grunfeld.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_Grunfeld_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_Grunfeld.pdf
Vigorito,24.95,Chess Explained: the Main-Line Slav,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_Main-Line_Slav.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_Main-Line_Slav_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_Main-Line_Slav.pdf
Vera,23.95,Chess Explained: the Meran Semi-Slav,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_Meran_Semi-Slav.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_Meran_Semi-Slav_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_Meran_Semi-Slav.pdf
Franco,23.95,Chess Explained: the Modern Benoni,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_Modern_Benoni.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_Modern_Benoni_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_Modern_Benoni.pdf
Vera,23.95,Chess Explained: the Nimzo-Indian,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_Nimzo-Indian.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_Nimzo-Indian_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_Nimzo-Indian.pdf
Rizzitano,23.95,Chess Explained: the Queen's Gambit Declined,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_Queen's_Gambit_Declined.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_Queen's_Gambit_Declined_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_Queen's_Gambit_Declined.pdf
Wells,19.95,Chess Explained: the Queen's Indian,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_The_Queen's_Indian.html,http://www.gambitbooks.com/bigimg/Chess_Explained_The_Queen's_Indian_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_The_Queen's_Indian.pdf
Rizzitano,19.95,Chess Explained: the Taimanov Sicilian,Gambit Publications,http://www.gambitbooks.com/books/Chess_Explained_the_Taimanov_Sicilian.html,http://www.gambitbooks.com/bigimg/Chess_Explained_the_Taimanov_Sicilian_Big.jpg,http://www.gambitbooks.com/pdfs/Chess_Explained_the_Taimanov_Sicilian.pdf
